conc tput
1	10768
2	20382
3	28735
4	36722
5	43017
6	49723
7	55528
8	60824
9	66612
10	71017
11	76759
12	82250
13	85688
14	90420
15	94564
16	96580
17	97835
18	98856
19	97559
20	96863
21	99120
22	100019
23	98778
24	101731
25	99961
26	100714
27	103636
28	103084
29	102641
30	103872
31	102467
32	103467
33	103267
34	102497
35	104027
36	104012
37	103489
38	103042
39	104372
40	103632
41	104069
42	104201
43	104835
44	104223
45	103941
46	104051
47	104403
48	104254
49	103864
50	103456
51	103994
52	104107
53	104325
54	103295
55	103872
56	103847
57	102871
58	102282
59	102138
60	102612
61	102392
62	101827
63	101795
64	102482
65	101892
66	101873
67	101817
68	101550
69	101231
70	101963
71	101670
72	101863
73	101092
74	101706
75	100383
76	100567
77	100376
78	100463
79	100726
80	100288
81	99966
82	101107
83	99849
84	100187
85	100291
86	100050
87	99959
88	99514
89	100247
90	100399
91	99981
92	99865
93	99118
94	99227
95	99386
96	99193
97	99409
98	98767
99	99179
100	98708
