xValue contrib
5.8951e+06 1.965e+07
5.5267e+06 2.0529e+07
6.3265e+06 2.2255e+07
5.705e+06 2.0233e+07
5.7517e+06 1.9391e+07
5.6515e+06 2.0556e+07
5.751e+06 1.9939e+07
5.704e+06 2.0628e+07
5.8761e+06 2.0473e+07
5.4805e+06 1.8265e+07
5.6809e+06 2.0959e+07
5.8831e+06 2.1476e+07
5.7382e+06 1.9747e+07
6.1199e+06 2.0676e+07
5.7533e+06 2.1086e+07
5.7898e+06 1.9629e+07
5.9568e+06 2.1318e+07
6.2789e+06 2.2513e+07
5.856e+06 1.9972e+07
6.2465e+06 2.1449e+07
5.9494e+06 2.1837e+07
5.8569e+06 1.9581e+07
5.9287e+06 2.0466e+07
6.2331e+06 2.3486e+07
5.6035e+06 2.0294e+07
5.7003e+06 2.0306e+07
5.677e+06 2.0679e+07
5.9169e+06 2.0684e+07
5.7051e+06 2.0046e+07
5.6091e+06 1.9586e+07
5.5412e+06 2.0311e+07
5.7378e+06 2.1406e+07
5.5415e+06 1.9745e+07
5.176e+06 1.7668e+07
6.1462e+06 2.2077e+07
5.9052e+06 2.0557e+07
5.1149e+06 1.7613e+07
5.313e+06 1.7111e+07
5.5824e+06 2.1076e+07
5.3998e+06 1.8109e+07
5.1444e+06 1.6678e+07
5.3103e+06 1.7457e+07
5.65e+06 2.2528e+07
5.6541e+06 1.7714e+07
5.1578e+06 1.7163e+07
5.2345e+06 1.6456e+07
6.1638e+06 2.2083e+07
4.8078e+06 1.4991e+07
5.5306e+06 1.7831e+07
5.5979e+06 1.7466e+07
6.0783e+06 2.136e+07
5.6027e+06 1.9354e+07
5.4675e+06 1.815e+07
5.5022e+06 2.0668e+07
5.697e+06 2.0245e+07
5.4885e+06 1.8245e+07
6.0527e+06 2.2965e+07
5.1877e+06 1.8723e+07
5.1283e+06 1.6896e+07
5.2585e+06 1.8623e+07
5.4635e+06 1.8997e+07
5.3227e+06 1.641e+07
5.3339e+06 1.735e+07
5.5449e+06 1.9605e+07
5.1424e+06 1.6644e+07
5.2083e+06 1.759e+07
4.6666e+06 1.6293e+07
5.2169e+06 1.8537e+07
5.1403e+06 1.7723e+07
4.909e+06 1.756e+07
4.8908e+06 1.663e+07
5.6135e+06 2.0948e+07
5.4131e+06 1.8815e+07
5.0667e+06 1.7732e+07
4.7637e+06 1.6181e+07
4.8412e+06 1.7844e+07
4.9212e+06 1.7339e+07
4.9548e+06 1.7775e+07
5.0656e+06 1.8085e+07
5.0403e+06 1.9274e+07
4.7121e+06 1.5943e+07
5.1922e+06 1.9177e+07
4.8342e+06 1.7477e+07
4.8691e+06 1.7636e+07
5.1828e+06 1.8362e+07
5.2767e+06 1.8553e+07
5.0295e+06 1.7482e+07
